matchid,radiwin,time,fbtime,radi_totalkill,dire_totalkill,radi_totalassist,dire_totalassist,radi_denies,dire_denies,radi_networth,dire_networth,radi_damage,dire_damage,radi_level,dire_level,radi_heal,dire_heal,mode,version
2863344036,1,2108,73,65,19,40,39,3,2,76250,41340,94938,43227,101,80,3178,2335,4,7
2863344031,0,3410,77,39,71,54,127,10,65,118225,139420,157768,237175,122,125,3477,7134,22,7
2863344030,1,2313,405,37,17,29,37,25,22,139530,56380,83485,53819,109,98,7903,1756,1,7
2863344033,1,1697,392,34,4,50,9,18,18,50745,25860,49064,21876,92,58,2378,0,1,7
2863344032,1,1906,462,36,16,72,23,38,23,71475,42090,61061,39618,98,83,2428,0,3,7
5982,1,2026,116,44,24,55,42,26,19,70955,49255,66605,42315,86,80,796,219,22,6.88
5983,0,2588,4,35,63,36,89,39,10,60130,106195,58240,75500,89,110,218,1069,22,6.88
5980,0,3544,104,57,53,97,105,25,19,91365,101335,87244,81446,110,118,2730,1133,22,6.88
5981,0,2003,70,30,49,36,60,4,29,49710,66640,56844,66262,76,89,0,1716,22,6.88
5986,1,2591,166,32,25,58,55,33,27,87430,59450,68816,47868,92,87,4022,6715,22,6.88
5987,1,3487,137,55,48,114,70,58,25,93020,84205,83325,74198,123,112,0,0,22,6.88
5984,1,2097,178,24,16,32,23,15,6,57930,46410,42688,28942,82,72,2296,170,22,6.88
5985,1,4122,228,59,56,108,107,39,26,134515,117925,100897,91892,123,123,643,6815,22,6.88
38844,1,1727,282,41,13,44,17,24,12,65800,26575,54572,30826,79,55,679,0,22,6.88
2859127581,0,2759,112,36,65,54,115,18,10,72700,97750,84637,127656,113,119,1258,0,4,7
2859127580,0,2969,80,38,55,43,70,7,21,58855,84230,92628,121655,97,115,4982,0,1,7
38845,0,3177,71,45,51,78,100,17,35,83220,109000,70223,90714,109,115,3433,1592,22,6.88
2859127589,0,2513,12,34,63,62,118,13,20,60880,88435,87193,107376,107,117,3258,3492,22,7
2859127588,0,1994,66,24,37,31,80,8,7,39240,57380,52478,71329,75,94,681,9955,1,7
3482,1,1931,0,44,29,57,31,1,2,65295,43440,65357,41322,83,67,1963,1157,22,6.88
29685,0,1955,17,10,44,10,57,4,14,34640,68465,27819,51621,62,84,0,5397,22,6.88
30924,1,3898,0,48,39,77,75,83,37,111155,106850,95994,77831,119,113,3737,2181,22,6.88
2859195079,0,1487,141,18,36,46,56,15,16,36170,54205,54620,57934,65,76,0,5824,22,7
37236,0,2771,84,35,38,70,66,30,42,73125,88405,58478,72449,96,101,2189,892,22,6.88
49688,1,3840,10,69,52,128,85,26,24,121170,116665,100636,90571,121,122,382,246,22,6.88
2863337820,1,4109,80,76,63,139,142,18,29,126665,123520,205297,182197,125,125,9099,7144,3,7
2863337821,1,2872,84,43,30,83,43,25,16,101305,68015,106812,90458,116,99,4695,2223,1,7
2863337822,1,1576,133,58,19,76,26,16,21,64790,33865,80637,42340,86,70,2113,1832,1,7
2863337823,0,2665,116,25,50,50,111,12,13,64765,80105,132746,146230,99,111,10195,18504,1,7
2863337824,1,2543,119,51,36,76,48,22,12,84230,67840,105768,83980,117,108,2970,0,1,7
2863337825,1,2057,142,36,32,58,52,21,20,81085,52020,90786,76649,109,100,7378,0,18,7
2863337826,0,2717,70,34,63,46,69,5,17,70305,107725,89541,129513,111,121,2178,1117,1,7
2863337827,0,3271,63,45,47,89,92,26,29,90165,115335,162309,178829,120,118,11043,0,18,7
2859198848,0,3029,164,36,35,34,59,36,23,102775,95415,89434,103931,120,114,1262,2057,1,7
46136,1,3011,162,34,44,53,83,22,24,87265,80935,71596,79872,103,101,3808,8690,22,6.88
46135,1,2945,216,47,30,84,47,32,10,96135,76730,72607,49682,107,98,727,1614,22,6.88
23474,1,2105,34,50,29,87,43,32,15,70170,51755,73019,52062,90,75,3767,435,22,6.88
46133,1,3071,249,58,51,84,85,30,11,73695,79155,79522,77361,113,106,4567,1235,22,6.88
46132,0,2360,195,21,50,19,77,33,24,52075,79560,46426,65913,82,102,0,0,22,6.88
46131,1,1961,257,51,14,48,14,30,11,73310,33730,68897,31584,90,71,248,1087,22,6.88
46130,0,3505,61,46,72,66,89,23,29,85710,109520,89686,97376,110,124,1184,2791,22,6.88
2851779328,1,2252,123,45,10,69,9,7,1,63265,34030,86723,48033,97,72,1834,574,1,7
2851779329,0,1773,242,18,29,32,45,4,18,41990,61435,36485,57033,82,91,994,1163,1,7
28179,1,2826,104,52,30,105,45,16,34,85105,60165,84232,65292,107,88,1605,1420,22,6.88
2851779325,0,2607,130,31,49,42,77,10,8,55680,88345,76954,93148,100,113,0,965,22,7
28561,1,2436,84,49,33,87,53,17,16,89475,63700,71194,65815,95,93,15936,0,22,6.88
29237,1,3219,100,46,42,76,61,8,41,108440,80030,81033,84487,114,102,3523,1996,22,6.88
270,0,2110,115,25,48,47,86,12,14,47115,80595,46476,63660,73,91,57,3861,22,6.88
271,1,3281,1,50,40,61,85,13,20,102250,68500,83268,63498,99,97,0,7097,22,6.88
272,1,2800,375,44,24,96,46,51,42,91350,87195,74807,73442,108,97,14604,557,22,6.88
273,1,1524,105,30,8,45,11,9,24,56115,29425,42091,19499,71,52,1230,306,22,6.88
274,1,2159,0,32,26,45,28,25,44,78720,60060,54935,49128,94,85,1048,0,22,6.88
275,1,1364,13,31,12,57,14,46,14,41880,23485,41570,23288,65,52,1030,0,22,6.88
276,0,2669,58,28,45,34,90,38,28,59460,84005,54566,75340,92,104,528,4057,22,6.88
277,0,2945,36,39,62,56,104,49,18,74930,94130,75713,84679,100,113,252,10153,22,6.88
278,1,3036,41,49,44,65,80,28,29,81945,75480,68330,60966,110,108,194,3019,22,6.88
279,1,2056,119,36,26,68,31,36,20,80190,46325,58087,43045,87,71,1435,5463,22,6.88
16707,0,2037,188,13,29,22,63,8,35,36710,58015,34878,43912,59,78,1675,4289,22,6.88
16706,1,1620,27,47,17,61,26,38,31,62855,34615,61874,34899,80,64,973,548,22,6.88
16701,1,1966,60,54,15,68,21,19,20,63180,31855,66141,34166,83,60,1448,245,22,6.88
11548,0,3228,158,25,42,40,70,14,22,93080,81415,60745,57857,97,103,1050,12778,22,6.88
16703,1,2370,11,48,39,95,62,13,17,64835,68570,68834,67294,95,86,9330,0,22,6.88
16702,1,2996,108,49,28,98,49,14,37,96190,74145,77048,51304,112,97,1506,4220,22,6.88
46704,1,3255,5,42,43,72,59,17,41,87710,100420,70556,69475,108,113,1239,0,22,6.88
11549,1,3747,210,62,59,154,124,31,21,101965,97635,96133,87977,119,118,2567,6462,22,6.88
12019,0,2542,11,36,40,51,71,18,39,57115,82540,51000,73335,89,102,1354,0,22,6.88
12018,1,2577,68,52,33,102,46,6,26,79785,54560,76373,53890,99,82,649,65,22,6.88
46705,0,2677,134,26,45,37,79,18,37,61060,85265,57674,80549,87,103,0,5455,22,6.88
12015,0,2302,0,20,40,24,56,18,37,52830,87965,43042,64096,81,101,3131,1745,22,6.88
12014,1,3592,222,42,59,58,117,20,25,94500,109890,66557,84917,109,119,4179,0,22,6.88
12017,0,1817,3,11,34,7,24,12,59,29690,65430,24425,46078,59,75,12,916,22,6.88
12016,0,1846,0,22,37,34,44,41,28,47315,66655,39808,59433,68,82,1364,0,22,6.88
12011,1,3271,2,50,30,89,55,18,52,94145,77950,80413,59924,112,102,3706,0,22,6.88
4,1,1887,58,37,16,59,30,26,21,78980,38980,57760,50064,85,65,2328,446,22,6.88
12013,1,1801,38,37,14,51,24,44,18,62665,38120,51345,25638,82,66,555,217,22,6.88
12012,0,2464,7,18,44,39,68,37,47,48085,66370,54510,74670,72,89,4377,13307,22,6.88
2851776363,0,2631,326,38,31,83,88,10,18,74365,85485,87808,75457,114,118,3216,3764,1,7
2851776362,0,2828,88,37,53,56,93,24,19,86620,95510,123465,115936,118,123,3074,10252,1,7
2851776361,0,2479,112,30,45,71,103,15,17,65095,87400,104706,103570,105,113,0,19586,3,7
2851776360,1,3446,132,45,46,70,93,20,33,133125,92390,115671,123424,119,122,2400,0,1,7
17250,1,2770,115,59,32,108,47,25,22,107560,61400,84217,61514,110,94,2097,617,22,6.88
17251,0,2204,81,39,37,50,54,6,4,62440,63555,50760,43739,86,83,444,461,22,6.88
17252,1,1944,48,45,18,89,26,28,6,63590,41255,60658,41534,85,66,3585,0,22,6.88
17253,0,3033,12,30,78,61,120,28,38,68080,107640,57137,98034,102,122,50,229,22,6.88
17254,0,2243,60,20,45,32,60,18,27,41870,69800,33865,63119,72,93,528,1423,22,6.88
17255,1,2522,135,53,42,93,90,23,21,86570,59445,67242,75176,101,88,9604,958,22,6.88
17256,1,2969,271,51,33,83,58,15,16,86865,75730,71022,65576,105,100,1249,609,22,6.88
17257,0,2513,287,32,50,42,80,61,49,61470,108450,64805,64089,91,111,1374,1622,22,6.88
10709,0,1915,6,30,56,51,85,32,32,42085,60220,49278,81477,77,86,1231,322,22,6.88
10708,1,2522,98,43,26,97,45,18,30,77500,55570,63636,45659,98,87,3869,1538,22,6.88
46702,1,1663,12,32,14,36,9,42,14,58215,39075,49939,33266,79,65,2580,1832,22,6.88
9258,0,2822,220,29,38,34,62,1,17,60030,73595,60701,66896,91,98,1083,632,22,6.88
2863365608,1,3296,2,67,58,103,100,8,34,106645,85415,163066,150158,120,115,330,6074,22,7
2863365607,1,2438,108,34,20,46,39,8,14,92080,57675,80667,65650,114,98,2740,1033,1,7
9257,0,2182,15,18,61,38,106,28,49,44675,87590,48291,76488,76,97,0,0,22,6.88
2863365605,0,1708,109,17,28,13,34,2,10,27535,73655,40835,50125,67,91,800,3472,22,7
2863365604,1,2684,180,38,32,71,40,42,25,84830,73475,95824,81289,116,105,0,3588,22,7
2863365603,1,2515,236,33,26,86,63,25,33,65265,55150,108501,71606,112,100,4645,7848,22,7
2863365602,1,1728,149,44,17,72,19,25,23,64800,31500,63799,51744,92,68,1154,0,22,7
2863365601,1,2168,60,50,18,58,27,11,5,89455,38810,76722,46249,109,77,944,653,1,7
