Hero,win,kills,deaths,assists,damage,heal,lasthit,denies,level,tower,version
Undying,0,9,20,13,19351,0,69,1,23,113,7
Bane,1,11,4,23,30759,0,84,9,25,1688,7
Windranger,1,25,7,25,67636,0,150,3,25,5942,7
Pugna,1,15,9,30,33157,9891,78,1,25,7129,7
Slark,1,8,8,33,37366,0,87,2,21,1183,7
Chaos Knight,1,6,7,28,31526,1129,147,1,24,674,7
Tinker,1,19,13,14,50791,0,180,3,25,1341,7
Earth Spirit,1,10,15,25,29351,0,85,2,25,0,7
Faceless Void,1,16,7,16,32144,0,252,5,25,3303,7
Spectre,1,4,10,10,14352,0,70,2,19,812,7
Winter Wyvern,1,10,12,17,22338,400,214,1,25,2344,7
Drow Ranger,0,6,13,6,13555,0,323,1,25,1217,7
Venomancer,0,8,14,19,41080,0,196,1,25,1190,7
Windranger,0,6,10,6,17835,0,183,8,23,2727,7
Ancient Apparition,0,13,13,14,23175,0,136,1,25,491,7
Earthshaker,0,23,10,18,55749,0,331,10,25,2753,7
Legion Commander,1,2,2,20,7598,0,131,0,20,2126,7
Anti-Mage,1,15,1,8,26633,0,289,3,25,8669,7
Viper,1,10,4,13,16818,755,177,4,22,4437,7
Underlord,1,4,6,15,4232,1000,73,0,20,598,7
Spirit Breaker,1,11,2,23,15153,2146,84,2,22,2404,7
Windranger,0,0,9,9,13905,0,131,11,16,366,7
Skywrath Mage,0,4,10,6,18934,0,39,7,14,69,7
Monkey King,0,7,8,4,24945,0,84,7,20,0,7
Doom,0,0,5,4,4780,0,154,0,18,84,7
Sniper,0,3,10,4,14810,0,143,9,18,1353,7
Oracle,1,2,8,9,6876,3685,28,0,19,761,7
Monkey King,1,7,9,17,23392,0,96,11,23,2614,7
Weaver,1,11,4,18,24806,0,219,14,25,8244,7
Chaos Knight,1,8,11,17,25100,0,193,3,24,5786,7
Necrophos,1,9,7,18,14821,7083,31,4,22,816,7
Bounty Hunter,0,11,8,11,13753,0,56,0,21,55,7
Ursa,0,7,9,13,23888,199,144,2,23,903,7
Witch Doctor,0,5,8,13,15667,2814,66,5,23,266,7
Phantom Assassin,0,10,6,8,22953,265,279,8,24,10206,7
Pudge,0,4,8,15,13860,0,128,3,20,0,7
